,Date/Time,Retweet Count,Favourite Count,Retweet Rolling Av,Favourite Rolling Av
0,2020-08-03 15:51:42,105,3324,,
1,2020-08-03 15:49:55,62,1682,,
2,2020-08-03 15:48:31,55,2445,,
3,2020-08-02 23:20:53,81,2947,,
4,2020-08-02 22:45:07,30821,286450,,
5,2020-08-02 22:39:25,4958,0,,
6,2020-08-02 21:35:05,1117,16245,,
7,2020-08-02 21:23:10,1494,0,,
8,2020-08-02 20:28:38,1635,0,,
9,2020-08-02 20:27:25,20657,237424,,
10,2020-08-02 19:07:43,12883,0,,
11,2020-08-02 18:51:51,32563,0,,
12,2020-08-02 18:51:04,18184,302020,,
13,2020-08-02 18:37:24,647,18061,,
14,2020-08-02 18:31:53,2800,59039,,
15,2020-08-02 18:11:01,10123,149660,,
16,2020-08-02 17:19:04,2750,33533,,
17,2020-08-02 16:55:30,9111,123845,,
18,2020-08-02 15:58:59,2160,0,,
19,2020-08-02 05:43:55,152,2968,7617.9,61982.15
20,2020-08-02 05:42:00,209,4818,7623.1,62056.85
21,2020-08-02 04:49:11,34,1003,7621.7,62022.9
22,2020-08-02 04:48:39,176,12585,7627.75,62529.9
23,2020-08-02 02:33:32,2042,0,7725.8,62382.55
24,2020-08-01 23:49:30,2717,0,6320.6,48060.05
25,2020-08-01 23:42:55,7011,0,6423.25,48060.05
26,2020-08-01 18:24:21,3918,0,6563.3,47247.8
27,2020-08-01 08:15:54,442,6560,6510.7,47575.8
28,2020-08-01 07:42:43,2612,0,6559.55,47575.8
29,2020-08-01 07:28:19,1017,0,5577.55,35704.6
30,2020-08-01 06:47:18,1580,37295,5012.4,37569.35
31,2020-08-01 03:57:37,79,1820,3388.2,37660.35
32,2020-08-01 03:51:54,884,17079,2523.2,23413.3
33,2020-08-01 01:29:51,1134,0,2547.55,22510.25
34,2020-08-01 01:29:43,4091,0,2612.1,19558.3
35,2020-07-31 14:54:07,2412,45944,2226.55,14372.5
36,2020-07-31 14:48:07,1242,0,2151.15,12695.85
37,2020-07-31 06:38:13,111,6577,1701.15,6832.45
38,2020-07-31 04:17:16,2961,80868,1741.2,10875.85
39,2020-07-31 04:14:32,71176,546337,5292.4,38044.3
40,2020-07-31 04:11:31,289,8008,5296.4,38203.8
41,2020-07-31 02:34:18,73,5170,5298.35,38412.15
42,2020-07-31 00:12:12,52,1191,5292.15,37842.45
43,2020-07-31 00:05:07,189,3252,5199.5,38005.05
44,2020-07-31 00:01:04,8316,77056,5479.45,41857.85
45,2020-07-30 23:31:20,75,1004,5132.65,41908.05
46,2020-07-30 23:05:17,188,7230,4946.15,42269.55
47,2020-07-30 20:31:50,3525,50204,5100.3,44451.75
48,2020-07-30 20:05:05,4741,78477,5206.75,48375.6
49,2020-07-30 19:52:29,884,13620,5200.1,49056.6
50,2020-07-30 19:42:13,312,15254,5136.7,47954.55
51,2020-07-30 19:39:15,13,636,5133.4,47895.35
52,2020-07-30 18:27:55,76,1227,5093.0,47102.75
53,2020-07-30 18:20:31,77,1255,5040.15,47165.5
54,2020-07-30 17:41:43,103,1242,4840.75,47227.6
55,2020-07-30 17:27:43,419,3907,4741.1,45125.75
56,2020-07-30 17:19:54,333,10298,4695.65,45640.65
57,2020-07-30 17:04:42,230,8589,4701.6,45741.25
58,2020-07-30 08:54:55,1770,48110,4642.05,44103.35
59,2020-07-30 08:33:48,61,940,1086.3,16833.5
60,2020-07-30 08:19:44,5146,39800,1329.15,18423.1
61,2020-07-30 08:15:23,13,742,1326.15,18201.7
62,2020-07-30 08:11:14,101,1687,1328.6,18226.5
63,2020-07-30 08:03:46,27,904,1320.5,18109.1
64,2020-07-30 07:58:50,106,7225,910.0,14617.55
65,2020-07-30 07:54:43,91,6024,910.8,14868.55
66,2020-07-30 07:53:58,12105,137808,1506.65,21397.45
67,2020-07-30 07:12:22,14062,197919,2033.5,28783.2
68,2020-07-30 06:55:03,47208,525802,4156.85,51149.45
69,2020-07-30 06:39:30,144,2293,4119.85,50583.1
70,2020-07-30 06:35:16,108,1054,4109.65,49873.1
71,2020-07-30 06:32:50,177,1861,4117.85,49934.35
72,2020-07-30 06:27:47,258,1775,4126.95,49961.75
73,2020-07-30 06:25:01,2680,36483,4257.1,51723.15
74,2020-07-30 06:24:08,834,12030,4293.65,52262.55
75,2020-07-30 03:37:18,24,1049,4273.9,52119.65
76,2020-07-29 08:18:23,1329,44876,4323.7,53848.55
77,2020-07-29 07:19:57,153,4545,4319.85,53646.35
78,2020-07-29 07:07:28,180,5615,4240.35,51521.6
79,2020-07-29 00:52:15,166,2910,4245.6,51620.1
80,2020-07-29 00:18:39,122,2403,3994.4,49750.25
81,2020-07-29 00:17:17,17,605,3994.6,49743.4
82,2020-07-29 00:10:24,80,2235,3993.55,49770.8
83,2020-07-29 00:08:41,3110,34407,4147.7,51445.95
84,2020-07-29 00:03:00,163,2495,4150.55,51209.45
85,2020-07-28 23:49:14,310,7719,4161.5,51294.2
86,2020-07-28 17:06:43,45,1165,3558.5,44462.05
87,2020-07-28 17:06:20,19,872,2856.35,34609.7
88,2020-07-28 17:00:16,62,2046,499.05,8421.9
89,2020-07-28 16:53:55,134,1841,498.55,8399.3
90,2020-07-28 16:44:55,89,1500,497.6,8421.6
91,2020-07-28 16:36:11,219,4762,499.7,8566.65
92,2020-07-28 04:18:44,375,9696,505.55,8962.7
93,2020-07-28 01:41:23,298,6872,386.45,7482.15
94,2020-07-27 19:56:34,1874,13220,438.45,7541.65
95,2020-07-27 19:17:41,135,4792,444.0,7728.8
96,2020-07-27 19:12:44,16,1134,378.35,5541.7
97,2020-07-27 18:57:05,45078,266106,2624.6,18619.75
98,2020-07-27 18:51:25,1242,32835,2677.7,19980.75
99,2020-07-27 18:32:18,81610,550577,6749.9,47364.1
100,2020-07-27 17:55:50,54,1971,6746.5,47342.5
101,2020-07-27 17:43:48,22,1254,6746.75,47374.95
102,2020-07-27 17:05:14,9854,185821,7235.45,56554.25
103,2020-07-27 16:58:48,131,2743,7086.5,54971.05
104,2020-07-27 16:57:43,192,10677,7087.95,55380.15
105,2020-07-27 16:53:21,70,2994,7075.95,55143.9
106,2020-07-27 16:52:37,90,3126,7078.2,55241.95
107,2020-07-27 07:10:10,279,20067,7091.2,56201.7
108,2020-07-27 05:29:08,2301,0,7203.15,56099.4
109,2020-07-27 03:58:21,510,7564,7221.95,56385.55
110,2020-07-27 03:40:56,1739,85069,7304.45,60564.0
111,2020-07-27 03:24:13,58,1571,7296.4,60404.45
112,2020-07-27 03:16:48,1868,34271,7371.05,61633.2
113,2020-07-27 03:07:00,24,577,7357.35,61318.45
114,2020-07-27 02:44:22,36,895,7265.45,60702.2
115,2020-07-27 02:43:12,72,3898,7262.3,60657.5
116,2020-07-27 02:41:32,11548,128714,7838.9,67036.5
117,2020-07-27 02:39:55,106,688,5590.3,53765.6
118,2020-07-27 02:34:10,21,667,5529.25,52157.2
119,2020-07-27 02:31:23,132,8874,1455.35,25072.05
120,2020-07-27 02:30:48,118,2623,1458.55,25104.65
121,2020-07-26 21:36:25,156,6714,1465.25,25377.65
122,2020-07-26 21:36:12,414,15068,993.25,16840.0
123,2020-07-26 21:21:11,72,2166,990.3,16811.15
124,2020-07-26 21:17:59,41,896,982.75,16322.1
125,2020-07-26 21:10:27,62,1758,982.35,16260.3
126,2020-07-26 20:56:46,78,2061,981.75,16207.05
127,2020-07-26 20:55:42,93,5023,972.45,15454.85
128,2020-07-26 20:46:06,45,1751,859.65,15542.4
129,2020-07-26 20:33:06,255,15080,846.9,15918.2
130,2020-07-26 20:29:46,854,32833,802.65,13306.4
131,2020-07-26 14:59:13,4103,0,1004.9,13227.85
132,2020-07-26 11:14:10,1373,0,980.15,11514.3
133,2020-07-26 02:04:01,118,1321,984.85,11551.5
134,2020-07-26 02:01:37,377,3463,1001.9,11679.9
135,2020-07-26 01:59:45,32,613,999.9,11515.65
136,2020-07-26 01:55:54,329,8344,438.95,5497.15
137,2020-07-26 00:24:07,108,6320,439.05,5778.75
138,2020-07-26 00:23:39,29,1377,439.45,5814.25
139,2020-07-26 00:23:08,57,3337,435.7,5537.4
140,2020-07-26 00:02:07,112,2967,435.4,5554.6
141,2020-07-25 23:18:13,49,1230,430.05,5280.4
142,2020-07-25 21:40:42,1172,17785,467.95,5416.25
143,2020-07-25 10:04:25,1380,51721,533.35,7894.0
144,2020-07-25 09:51:05,275,3208,545.05,8009.6
145,2020-07-25 03:42:29,26935,300841,1888.7,22963.75
146,2020-07-25 03:35:00,628,9968,1916.2,23359.1
147,2020-07-25 03:06:07,51,2040,1914.1,23209.95
148,2020-07-24 22:33:15,522,5748,1937.95,23409.8
149,2020-07-24 22:31:07,3863,81076,2118.35,26709.6
150,2020-07-24 16:28:27,4393,70173,2295.3,28576.6
151,2020-07-24 16:21:01,80821,674856,6131.2,62319.4
152,2020-07-24 15:38:53,98,1510,6067.45,62394.9
153,2020-07-24 15:01:39,5481,58847,6335.6,65271.2
154,2020-07-24 14:55:30,60,2074,6319.75,65201.75
155,2020-07-24 14:53:54,7123,62989,6674.3,68320.55
156,2020-07-24 14:50:53,5437,65386,6929.7,71172.65
157,2020-07-24 14:44:46,13737,147360,7611.15,78224.65
158,2020-07-24 14:39:07,4534,57197,7836.4,81015.65
159,2020-07-24 14:12:12,5589,96573,8113.0,85677.45
160,2020-07-24 14:10:27,349,5237,8124.85,85790.95
161,2020-07-24 13:12:38,120,1814,8128.4,85820.15
162,2020-07-24 03:22:56,326,13072,8086.1,85584.5
163,2020-07-24 02:14:28,56,1417,8019.9,83069.3
164,2020-07-23 23:55:59,1021,19656,8057.2,83891.7
165,2020-07-23 23:19:05,237,5964,6722.3,69147.85
166,2020-07-23 23:12:15,1315,0,6756.65,68649.45
167,2020-07-23 18:00:44,486,6796,6778.4,68887.25
168,2020-07-23 17:29:13,93,2833,6756.95,68741.5
169,2020-07-23 17:19:52,82,1891,6567.9,64782.25
170,2020-07-23 11:58:14,238,13960,6360.15,61971.6
171,2020-07-23 11:57:03,97,4814,2323.95,28469.5
172,2020-07-23 11:45:01,54,2992,2321.75,28543.6
173,2020-07-23 08:14:41,67,3232,2051.05,25762.85
174,2020-07-23 08:13:16,367,4575,2066.4,25887.9
175,2020-07-23 07:59:54,1800,33467,1800.25,24411.8
176,2020-07-23 00:48:59,2592,0,1658.0,21142.5
177,2020-07-22 17:01:15,114,4124,976.85,13980.7
178,2020-07-22 16:53:37,632,12739,781.75,11757.8
179,2020-07-22 09:05:09,57,1226,505.15,6990.45
180,2020-07-22 06:53:20,45968,358394,2786.1,24648.3
181,2020-07-22 06:43:58,82,4258,2784.2,24770.5
182,2020-07-22 06:42:32,49622,339417,5249.0,41087.75
183,2020-07-22 06:40:57,762,13332,5284.3,41683.5
184,2020-07-22 06:28:49,250,4411,5245.75,40921.25
185,2020-07-22 06:22:03,81,4118,5237.95,40828.95
186,2020-07-22 06:10:48,15644,228149,5954.4,52236.4
187,2020-07-22 06:09:45,123,6977,5936.25,52245.45
188,2020-07-22 05:56:57,225,8242,5942.85,52515.9
189,2020-07-22 05:52:36,85,10395,5943.0,52941.1
190,2020-07-22 05:48:18,68,10428,5934.5,52764.5
191,2020-07-22 05:47:43,158,14652,5937.55,53256.4
192,2020-07-22 05:45:35,14248,208228,6647.25,63518.2
193,2020-07-22 05:44:01,68,1628,6647.3,63438.0
194,2020-07-22 05:40:32,1258,38923,6691.85,65155.4
195,2020-07-22 05:07:55,105,3443,6607.1,63654.2
196,2020-07-22 01:46:30,144,6292,6484.7,63968.8
197,2020-07-21 18:22:06,6289,0,6793.45,63762.6
198,2020-07-21 17:59:57,64,4091,6765.05,63330.2
199,2020-07-21 17:09:13,360,15302,6780.2,64034.0
200,2020-07-21 16:49:47,338,3995,4498.7,46314.05
201,2020-07-21 16:46:07,45,1383,4496.85,46170.3
202,2020-07-21 16:33:19,48,1278,2018.15,29263.35
203,2020-07-21 16:31:02,221,5427,1991.1,28868.1
204,2020-07-21 05:19:10,32,3131,1980.2,28804.1
205,2020-07-21 05:18:26,153,2599,1983.8,28728.15
206,2020-07-21 05:10:21,4203,0,1411.75,17320.7
207,2020-07-21 04:58:13,13191,297650,2065.15,31854.35
208,2020-07-21 04:25:20,28,934,2055.3,31488.95
209,2020-07-21 04:23:24,125,994,2057.3,31018.9
210,2020-07-21 04:19:58,61,1906,2056.95,30592.8
211,2020-07-21 04:13:20,706,10975,2084.35,30408.95
212,2020-07-21 02:18:57,4378,71545,1590.85,23574.8
213,2020-07-20 22:19:33,4040,76218,1789.45,27304.3
214,2020-07-20 22:14:23,6721,0,2062.6,25358.15
215,2020-07-20 22:08:18,559,15832,2085.3,25977.6
216,2020-07-20 21:51:25,203,5949,2088.25,25960.45
217,2020-07-20 21:12:30,507,13425,1799.15,26631.7
218,2020-07-20 21:11:56,2789,40193,1935.4,28436.8
219,2020-07-20 10:04:01,121,2229,1923.45,27783.15
220,2020-07-20 10:00:51,422,12231,1927.65,28194.95
221,2020-07-20 09:26:47,704,13124,1960.6,28782.0
222,2020-07-19 19:23:50,28,878,1959.6,28762.0
223,2020-07-19 19:22:54,96,2065,1953.35,28593.9
224,2020-07-19 18:55:08,155,5502,1959.5,28712.45
225,2020-07-19 18:53:26,87,1686,1956.2,28666.8
226,2020-07-19 18:52:22,173,5264,1754.7,28930.0
227,2020-07-19 18:49:12,2693,0,1229.8,14047.5
228,2020-07-19 18:08:46,168,2800,1236.8,14140.8
229,2020-07-19 18:07:45,680,52531,1264.55,16717.65
230,2020-07-19 18:06:08,74,2126,1265.2,16728.65
231,2020-07-19 05:35:13,411,20887,1250.45,17224.25
232,2020-07-19 04:36:51,42,1175,1033.65,13705.75
233,2020-07-19 02:51:06,551,9881,859.2,10388.9
234,2020-07-19 02:47:27,53,1258,525.8,10451.8
235,2020-07-19 02:46:44,180,7203,506.85,10020.35
236,2020-07-19 01:02:57,48,872,499.1,9766.5
237,2020-07-19 00:55:49,51,1544,476.3,9172.45
238,2020-07-19 00:45:51,87,2059,341.2,7265.75
239,2020-07-19 00:11:35,1127,29785,391.5,8643.55
240,2020-07-19 00:08:52,150,4839,377.9,8273.95
241,2020-07-19 00:06:43,4480,0,566.7,7617.75
242,2020-07-18 23:48:38,14,718,566.0,7609.75
243,2020-07-18 23:47:24,25,696,562.45,7541.3
244,2020-07-18 23:43:40,33,904,556.35,7311.4
245,2020-07-18 23:42:35,49,1166,554.45,7285.4
246,2020-07-18 23:30:33,97,1592,550.65,7101.8
247,2020-07-18 23:18:02,2512,0,541.6,7101.8
248,2020-07-18 02:03:56,1047,27007,585.55,8312.15
249,2020-07-18 01:59:21,5307,72282,816.9,9299.7
250,2020-07-18 01:14:51,57,3764,816.05,9381.6
251,2020-07-18 01:11:23,170,6798,804.0,8677.15
252,2020-07-18 00:58:55,29594,285361,2281.6,22886.45
