,Date/Time,Retweet Count,Favourite Count,Retweet Rolling Av,Favourite Rolling Av
0,2020-07-31 18:58:33,37373,176310,,
1,2020-07-31 18:57:37,5750,33078,,
2,2020-07-31 14:06:15,20999,123304,,
3,2020-07-31 14:02:30,50951,361923,,
4,2020-07-25 22:23:24,36804,283840,,
5,2020-07-25 21:56:03,3416,54533,,
6,2020-07-25 20:51:20,36139,469061,,
7,2020-07-25 20:21:43,12034,115600,,
8,2020-07-25 20:12:34,12033,121329,,
9,2020-07-25 18:21:26,651,3143,,
10,2020-07-25 18:21:26,16230,152045,,
11,2020-07-25 18:21:26,10477,104033,,
12,2020-07-25 18:07:06,2183,40923,,
13,2020-07-25 16:28:33,6914,99256,,
14,2020-07-25 01:58:55,6156,101047,,
15,2020-07-23 04:30:42,2800,54281,,
16,2020-07-23 03:10:45,5452,121510,,
17,2020-07-22 06:33:43,16301,174637,,
18,2020-07-22 05:47:25,3745,48599,,
19,2020-07-22 05:38:23,4255,46460,14533.15,134245.6
20,2020-07-22 05:10:43,3054,46530,12817.2,127756.6
21,2020-07-22 03:55:04,8976,84400,12978.5,130322.7
22,2020-07-22 00:32:15,2507,42233,12053.9,126269.15
23,2020-07-21 19:58:39,2851,54850,9648.9,110915.5
24,2020-07-21 17:28:53,37253,306874,9671.35,112067.2
25,2020-07-21 04:36:45,41985,266319,11599.8,122656.5
26,2020-07-21 03:44:45,50460,505219,12315.85,124464.4
27,2020-07-21 02:33:39,8615,77776,12144.9,122573.2
28,2020-07-21 02:30:10,16564,187954,12371.45,125904.45
29,2020-07-19 15:42:19,4331,55516,12555.45,128523.1
30,2020-07-19 15:33:59,8714,94693,12179.65,125655.5
31,2020-07-18 21:21:38,3599,35468,11835.75,122227.25
32,2020-07-18 19:59:56,1330,26075,11793.1,121484.85
33,2020-07-18 19:50:50,2162,39534,11555.5,118498.75
34,2020-07-18 17:22:59,1674,32928,11331.4,115092.8
35,2020-07-18 16:45:12,853,19352,11234.05,113346.35
36,2020-07-18 16:35:54,1150,21628,11018.95,108352.25
37,2020-07-18 16:28:51,1528,27943,10280.3,101017.55
38,2020-07-18 05:44:16,2680,45405,10227.05,100857.85
39,2020-07-18 03:49:58,5419,45523,10285.25,100811.0
40,2020-07-17 18:10:25,2219,43970,10243.5,100683.0
41,2020-07-17 13:00:30,5487,56781,10069.05,99302.05
42,2020-07-17 12:57:19,6663,48767,10276.85,99628.75
43,2020-07-17 12:55:54,5958,59605,10432.2,99866.5
44,2020-07-17 12:49:17,2234,37251,8681.25,86385.35
45,2020-07-17 07:39:22,22578,195693,7710.9,82854.05
46,2020-07-17 01:20:15,9038,94809,5639.8,62333.55
47,2020-07-15 01:08:13,2308,47075,5324.45,60798.5
48,2020-07-15 01:07:25,1679,33641,4580.2,53082.85
49,2020-07-15 01:07:07,9602,153170,4843.75,57965.55
50,2020-07-15 01:06:36,2525,48832,4534.3,55672.5
